#Object	    parallax err(par)	Period          m       A     err(A)	
#	    [mas]    [mas]	[days]		[mag]	[mag] [mag]
#
l-Car	    2.01     0.20 	35.551341	3.732	0.52  0.06	
zeta-Gem    2.78     0.18 	10.15073	3.911	0.06  0.03	
beta-Dor    3.14     0.16 	9.842425	3.751	0.25  0.05	
W-Sgr	    2.28     0.20 	7.594904	4.667	0.37  0.03	
X-Sgr	    3.00     0.18 	7.012877	4.556	0.58  0.1 	
Y-Sgr	    2.13     0.29 	5.77338		5.743	0.67  0.04	
delta-Cep   3.66     0.15 	5.36627		3.960	0.23  0.03	
FF-Aql	    2.81     0.18 	4.470916	5.372	0.64  0.06	
T-Vul	    1.90     0.23 	4.435462	5.752	0.34  0.06	
RT-Aur	    2.40     0.19 	3.72819		5.464	0.20  0.08	

